NH4inf,FA,FNA,Day,O2,pH,HRT,Temperature,Candidatus Kuenenia,Candidatus Brocadia,AnAOB,AOB,NOB,NLR,NRR
34.63,0.28,0.75,565,0.18,7.4,11,14.69,0,10.4,10.4,0.94,0.86,0.08,0.07
44.9,0.77,0.25,35,0.25,7.4,17.5,25,17.1,0,17.1,0.2,0.25,0.06,0.05
44.9,0.77,0.2,70,0.25,7.4,17.5,25,13.7,0,13.7,0.5,0.4,0.06,0.04
44.9,0.77,0.19,95,0.25,7.4,17.5,25,2.3,0,2.3,0.6,0.18,0.06,0.03
100,15.17,0.73,62,0.13,8.1,24,35,0,0.15,12.47,1.8,0.04,0.1,0.07
200,30.34,0.15,106,0.13,8.1,24,35,0,1.59,12.65,2.76,1.24,0.2,0.15
67.89,2.01,0.14,264,1,7.8,1.3,20,4.45,0,4.45,44.87,3.55,1.25,0.97
72.15,2.13,0.08,320,1.8,7.8,1.3,20,8.41,0,8.41,30.6,1.61,1.33,1.08
110.05,8.78,0.08,69,0.22,7.94,74.08,30,21.14,0,21.14,0.1,0.9,0.18,0.03
116.05,9.26,0.54,195,0.28,7.94,9.48,30,0.73,2.22,2.95,0.5,3.4,0.19,0.11
250,30.92,0.27,14,0.07,8,6,35,0,17.24,17.24,2.1,0.6,1,0.66
50,6.18,0.31,46,0.04,8,4,35,0,4.92,4.92,6.94,8.74,0.3,0.04
100,4.2,35.02,61,0,7.5,6,35,0,3.61,3.61,7.1,3.23,1.2,0.08
250,30.92,0.53,90,0.1,8,6,35,0,3.92,3.92,19,0.99,1,0.41
250,30.92,0.36,114,0.17,8,6,35,0,8.86,8.86,4.87,0.05,1,0.64
250,12.06,0.26,25,0.25,7.65,4,32,0,17.2,17.2,2,0.6,1.5,1.27
50,2.41,0.26,110,0.05,7.65,2,32,0,15.3,15.3,2.7,2,0.6,0.42
50,0.73,0.41,190,0.04,7.65,2,15,0,14.1,14.1,1.5,3.2,0.6,0.28
50,2.41,0.22,250,0.08,7.65,2,32,0,18.5,18.5,4.7,4.2,0.6,0.39
46.32,1.87,0.19,45,1,7.75,12,26,8.05,5.87,13.91,2.18,2.25,0.09,0.07
46.96,1.89,1.02,45,1,7.75,12,26,4.36,5.38,9.74,0.48,0.59,0.09,0.01
45.41,1.83,0.58,45,1,7.75,12,26,12.86,0.19,13.05,27,26.96,0.09,0.02
46.12,1.86,0.91,45,1,7.75,12,26,1.59,0.05,1.64,4.18,4.34,0.09,0.04
500,21.46,0.43,27,0.07,7.65,12,30.23,18.5,0,18.5,13.8,0,1,0.34
50.25,3.28,0.09,35,0.77,8,2,25,3.5,0,3.5,2.5,3.2,0.6,0.02
49.52,3.23,0.16,120,0.25,8,2,25,11,0,11,5.9,3.8,0.6,0.42
495,47.6,0.65,25,0.3,8.18,12,25,22.24,0,22.24,14.99,0.02,0.99,0.82
502,84.14,0.13,81,0.01,8.45,12,25,14.47,0,14.47,3.26,0.02,1,0.88
963,102.9,0.11,102,0.1,8.23,24,25,13.76,0,13.76,1.9,0.22,0.96,0.88
1495,132.02,0.4,147,0.02,8.14,36,25,20.07,0,20.07,3.4,0.02,1,0.91
2000,194.63,2.98,171,0.2,8.16,50.5,25,8.83,0,8.83,11.57,0.11,1,0.85
251.99,24.08,2.56,5,0.15,7.95,12,32.5,8.2,0,8.2,8.5,0,0.5,0.17
249.06,23.8,1.5,60,0.21,7.95,12,32.5,10.4,0,10.4,5.4,0,0.5,0.37
266.88,25.5,0.99,175,0.44,7.95,8,32.5,0.3,2.9,3.2,10.2,0,0.8,0.64
220.4,21.06,0.34,235,0.8,7.95,6,32.5,0,7.4,7.4,5.2,0,0.9,0.68
240.26,22.95,0.16,350,0.21,7.95,4,32.5,0,2.3,2.3,0,0,1.4,1.16
71.5,1.24,1.36,83,1.36,7.5,18,22,0,0.52,0.52,0.07,0.05,0.1,0.06
67.42,1.17,0.14,179,0.99,7.5,17,22,0,0.9,0.9,0.27,0.69,0.1,0.09
50.75,2.14,0,31,1,7.65,12,30,0,0.1,0.1,0.98,1.67,0.1,0
58.15,2.46,0,213,1,7.65,12,30,0,0.79,0.79,0.77,1.2,0.12,0.1
250,13.11,0.34,35,0.29,7.9,6,25,0,7.4,7.4,5.2,0.5,1,0.81
250,13.11,0.3,150,0.37,7.9,6,25,0,4.7,4.7,7.5,1.5,1,0.93
250,13.11,0.3,250,0.51,7.9,6,25,0,0.8,0.8,0.5,4.5,1,0.57
147.49,13.38,1.81,30,0.03,8,8,30,0.13,0.01,0.14,2.98,1.51,0.44,0.08
249.64,22.64,3.61,45,0.04,8,8,30,0.07,0.01,0.08,10.11,1.36,0.75,0.14
248.53,22.54,2.68,60,0.06,8,8,30,0.08,0.01,0.09,14.79,1.92,0.75,0.25
251.98,22.86,0.18,100,0.09,8,6,30,0.71,0.7,1.41,28.92,1.26,1.01,0.42
270.28,24.52,0.18,150,0.06,8,6,30,1.09,0.2,1.29,20.76,1.33,1.08,0.69
347.71,31.54,0.04,200,0.08,8,6,30,4.72,0.3,5.02,23.01,0.13,1.39,0.97
60.2,0.69,0,33,0.7,7.2,15.85,25.8,0,0.54,0.54,1.39,1.72,0.09,0.09
